Crypto,MAE,RMSE,MAPE (%)
BTC-USD,1634.0534884574738,2042.7373121961389,2.75043098845934
MATIC-USD,0.03327561621893451,0.0427313744342,5.385412534839568
SHIB-USD,1.2331067376208253e-06,1.6201062886269868e-06,5.92030148846312
LINK-USD,0.639421222074422,0.7898610423895096,4.488236880429062
DOT-USD,0.47716643876154696,0.5911206944521546,8.51824354431482
BNB-USD,18.514661895755385,24.016253396143977,3.6677451833471126
XLM-USD,0.003810770930530888,0.004690681866406031,3.52409021691577
ATOM-USD,0.3855630495686197,0.49170114148634636,5.168886136241317
TRX-USD,0.008980723982762586,0.01084908572325595,6.891952556767469
LTC-USD,2.7087941589487015,3.477892886776094,3.631521206553249
SOL-USD,8.552456326543947,10.519338605244164,5.9546486642321526
ETH-USD,106.09195957394317,134.5017871878006,3.5664272409870317
DOGE-USD,0.007279513090342875,0.009377091343146344,5.831697198665428
BCH-USD,27.21152479602143,36.09601510340273,7.195355709589609
ADA-USD,0.021877809732854483,0.029142023123574456,4.470243172943707
AVAX-USD,2.0081004309054995,2.4873614739566503,6.2307228719612615
XMR-USD,3.4085161896380294,5.172610064414222,2.351751762567655
XRP-USD,0.017616286318903385,0.021414819809537796,3.1701098784044444
