Crypto,MAE,RMSE,MAPE (%)
BTC-USD,7070.699108675036,7965.98320827661,28.547010289174224
MATIC-USD,0.039753392424886624,0.05971011691669188,24.49952273765682
SHIB-USD,0.003265519424974081,0.00715370423575136,19553.010747536275
LINK-USD,0.7609894509949436,1.1361542041923782,5.431191212821315
DOT-USD,0.5557487999715135,0.9942829707545843,4.059216105383511
BNB-USD,13.178239003771303,19.511853695680436,8.990078145365887
XLM-USD,0.009190271861549724,0.013688094855831544,5.792348387356809
FIL-USD,1.7755241021944608,3.578544615659144,9.180985085943806
ATOM-USD,0.6148683418428278,0.9082438144479441,5.797976409641275
TRX-USD,0.007183063140063641,0.011071757691109827,12.365993844913769
LTC-USD,5.210780876909377,7.971857849270024,5.12069272661714
SOL-USD,2.979542167274498,5.002379345644683,11.463344539442733
ETH-USD,138.59916093859368,185.16992146058044,14.671038756331223
DOGE-USD,0.006869704311180618,0.012949763860934755,28.545973367479743
UNI-USD,0.013178062714169464,0.04556812555798223,6619.753134522746
BCH-USD,18.071280198290168,27.512141889547454,5.340170556323187
ADA-USD,0.02627283362725567,0.04309646640835435,5.634624184763683
AVAX-USD,1.7508820030876393,2.886312802283477,6.248945683675725
XMR-USD,6.652187479713748,10.104946758328005,4.106446223992101
XRP-USD,0.029371517112833926,0.042788410036804586,5.284798647229953
